H	H_L	V	A	D	S
7	0.059	17880	4716	NA	NA
7	0.1	4880	1175	NA	NA
8.4	0.102	4183	1244	NA	NA
6.8	0.072	4047	2200	109	3
7.2	0.095	3267	1287	NA	NA
8	0.125	2960	1675	364	1.1
6.8	0.108	2761	1144	NA	NA
8.2	0.13	1282	1244	NA	NA
5.4	0.096	833	1075	NA	NA
3.6	0.08	688	888	NA	NA
4.4	0.142	668	656	NA	NA
7.6	0.141	655	470	146	3.4
5.4	0.15	321	312	NA	NA
2.8	0.085	157	325	33	2.9
3.6	0.124	32	125	NA	NA
4	0.2	29	350	NA	NA
2	0.111	14	175	NA	NA
1.2	0.15	11	44	36	3.8
6.4	0.305	5.5	84	66	3.5
6.2	0.31	5.3	81	66	2.5
6.2	0.326	4.3	66	70	3.5
5	0.313	3.3	50	80	8.3
6.2	0.365	1.4	22	40	3.5
2.2	0.314	0.9	13	20	3.8
2.2	0.367	0.3	4	66	7.6
4.2	0.56	0.1	3	NA	NA
