Core	coretype	sampler	depth	mass	%2mm	water	wetden	dryden	om	carb
97-Birk(01)	ekman	square	0.5	2.48	0	73.56	1.32	0.35	8.27	2.41
97-Birk(01)	ekman	square	1.5	2.63	0	70.62	1.26	0.37	7.96	2.32
97-Birk(01)	ekman	square	2.5	2.52	0	71.15	1.22	0.35	7.52	2.37
97-Birk(01)	ekman	square	3.5	2.54	0	71.98	1.27	0.36	6.95	2.63
97-Birk(01)	ekman	square	4.5	2.73	0	69.91	1.27	0.38	7.29	2.66
97-Birk(01)	ekman	square	5.5	2.87	0	69.22	1.31	0.4	7.22	2.73
97-Birk(01)	ekman	square	6.5	3.13	0	65.94	1.29	0.44	7.62	1.6
97-Birk(01)	ekman	square	7.5	3.91	0	60.25	1.38	0.55	7	1.56
97-Birk(01)	ekman	square	8.5	4.13	0	60.31	1.46	0.58	6.53	1.52
97-Birk(01)	ekman	square	9.5	3.78	0	61.02	1.36	0.53	6.79	1.03
97-Birk(01)	ekman	square	10.5	3.87	0	60.3	1.37	0.54	6.8	1
97-Birk(01)	ekman	square	11.5	3.98	0	60.24	1.41	0.56	7.11	1.06
97-Birk(01)	ekman	square	12.5	3.73	0	61.6	1.36	0.52	7.35	0.83
97-Birk(01)	ekman	square	13.5	3.81	0	61.55	1.39	0.53	7.43	0.83
97-Birk(01)	ekman	square	14.5	4.01	0	61.69	1.47	0.56	7.55	0.86
97-Birk(01)	ekman	square	15.5	3.75	0	59.71	1.3	0.53	7.34	0.96
97-Birk(02)	ekman	square	0.5	3.28	0	65.55	1.33	0.46	7.98	3.04
97-Birk(02)	ekman	square	1.5	3.9	0	60.77	1.4	0.55	7.33	3
97-Birk(02)	ekman	square	2.5	3.76	0	62.22	1.39	0.53	7.78	2.56
97-Birk(02)	ekman	square	3.5	3.59	0	62.87	1.36	0.5	7.77	2.35
97-Birk(02)	ekman	square	4.5	3.77	0	61.51	1.37	0.53	7.54	2.25
97-Birk(02)	ekman	square	5.5	4.27	0	57.88	1.42	0.6	7.03	2.3
97-Birk(02)	ekman	square	6.5	4.44	0	57.79	1.48	0.62	6.43	2.4
97-Birk(02)	ekman	square	7.5	4.3	0	58.35	1.45	0.6	6.3	2.51
97-Birk(02)	ekman	square	8.5	4.25	0	58.54	1.44	0.6	6.77	2.49
97-Birk(02)	ekman	square	9.5	4.26	0	58.69	1.45	0.6	6.69	2.49
97-Birk(02)	ekman	square	10.5	4.33	0	58.44	1.46	0.61	6.75	2.54
97-Birk(02)	ekman	square	11.5	3.94	0	59.97	1.38	0.55	6.8	2.51
97-Birk(02)	ekman	square	12.5	4.15	0	59.68	1.44	0.58	6.62	2.44
97-Birk(03)	ekman	square	0.5	5.21	0	53.98	1.59	0.73	10.53	1.68
97-Birk(03)	ekman	square	1.5	5.96	0	48.8	1.63	0.84	8.39	1.74
97-Birk(03)	ekman	square	2.5	5.42	0	51.13	1.56	0.76	8.73	1.67
97-Birk(03)	ekman	square	3.5	4.97	0	52.21	1.46	0.7	8.47	1.77
97-Birk(03)	ekman	square	4.5	4.97	0	52.67	1.47	0.7	8.23	1.74
97-Birk(03)	ekman	square	5.5	5.14	0	51.76	1.49	0.72	7.69	1.71
97-Birk(03)	ekman	square	6.5	5.04	0	51.9	1.47	0.71	8.19	1.72
97-Birk(03)	ekman	square	7.5	6.18	0	43.58	1.54	0.87	8.53	1.68
97-Birk(03)	ekman	square	8.5	4.95	0	51.88	1.44	0.69	7.98	1.66
97-Birk(03)	ekman	square	9.5	4.96	0	52.75	1.47	0.7	8.41	1.99
97-Birk(03)	ekman	square	10.5	4.91	0	53.78	1.49	0.69	8.72	2.05
97-Birk(04)	ekman	square	0.5	2.89	0	69	1.31	0.4	11.29	1.66
97-Birk(04)	ekman	square	1.5	2.87	0	68.3	1.27	0.4	10.83	1.67
97-Birk(04)	ekman	square	2.5	2.85	0	68.44	1.27	0.4	10.64	1.71
97-Birk(04)	ekman	square	3.5	2.86	0	68.84	1.29	0.4	10.74	1.61
97-Birk(04)	ekman	square	4.5	2.9	0	68.7	1.3	0.41	10.81	1.56
